BRAND-A Target Achievement 2025 Full Year;;;;;;;;;;;;;;
DEALER CODE;DEALER NAME;January;February;March;April;May;June;July;August;September;October;Nowember;December;2025 Full Year
BA-3-ICA-01;DEALER 1;157%;124%;124%;117%;150%;138%;141%;124%;174%;124%;107%;162%;150%
BA-3-EGE-01;DEALER 2;100%;100%;110%;120%;100%;133%;100%;64%;140%;100%;100%;100%;114%
BA-3-AKD-01;DEALER 3;100%;113%;138%;100%;100%;150%;175%;156%;163%;150%;100%;144%;144%
BA-3-AKD-02;DEALER 4;57%;88%;113%;114%;100%;138%;188%;100%;138%;100%;100%;122%;124%
BA-3-MAR-01;DEALER 5;43%;100%;57%;150%;100%;133%;183%;163%;171%;125%;45%;145%;127%
BA-3-EGE-02;DEALER 6;109%;108%;133%;107%;120%;100%;108%;150%;177%;100%;100%;148%;134%
BA-3-MAR-02;DEALER 7;100%;65%;129%;127%;86%;125%;124%;105%;106%;105%;100%;100%;116%
BA-3-MAR-03;DEALER 8;117%;100%;129%;183%;117%;157%;100%;150%;114%;71%;114%;127%;134%
BA-3-ICA-02;DEALER 9;0%;0%;100%;100%;100%;167%;67%;100%;25%;100%;67%;50%;78%
BA-3-ICA-03;DEALER 10;100%;50%;100%;120%;100%;140%;100%;100%;100%;167%;117%;144%;123%
BA-3-AKD-03;DEALER 11;100%;167%;100%;100%;100%;133%;100%;75%;50%;25%;17%;167%;100%
BA-3-MAR-04;DEALER 12;100%;56%;100%;100%;100%;100%;100%;109%;80%;80%;43%;20%;85%
BA-3-MAR-05;DEALER 13;100%;100%;87%;121%;100%;100%;120%;126%;150%;106%;100%;120%;122%
BA-3-ICA-04;DEALER 14;75%;57%;123%;79%;83%;85%;100%;40%;193%;133%;100%;121%;110%
BA-3-AKD-04;DEALER 15;100%;86%;100%;100%;85%;129%;157%;106%;119%;106%;100%;100%;117%
BA-3-MAR-06;DEALER 16;114%;118%;100%;125%;79%;119%;100%;100%;100%;121%;54%;57%;104%
BA-3-MAR-07;DEALER 17;93%;47%;100%;100%;79%;38%;124%;120%;128%;121%;80%;125%;107%
BA-3-MAR-08;DEALER 18;100%;20%;120%;100%;62%;100%;100%;106%;119%;59%;100%;104%;101%
BA-3-GDA-01;DEALER 19;100%;114%;114%;38%;117%;117%;14%;100%;129%;71%;117%;100%;101%
BA-3-KAR-01;DEALER 20;100%;133%;133%;67%;67%;67%;133%;100%;100%;175%;33%;133%;112%
BA-3-EGE-03;DEALER 21;120%;50%;133%;100%;100%;140%;120%;200%;117%;100%;100%;133%;131%
BA-3-EGE-04;DEALER 22;100%;17%;150%;100%;100%;140%;120%;183%;133%;114%;100%;120%;127%
;;;;;;;;;;;;;;
;Toplam;99%;81%;113%;108%;96%;114%;119%;114%;131%;108%;89%;113%;117%
